Erläuterungen;Planungsstelle;Produkt;Maßnahme;Sachkonto;Bezeichnung;Budget;Deckungskreis;Deckungsschlüssel;bewirtschaftende Dienststelle;anordnende Dienststelle;Investitionskennzeichen;Dotierkreis;Ansatz aktuell;Aktuelles Soll;ansatz vorjahr;Soll Vorjahr;Rg Erg vorvorjahr;RG Vorjahr;RG Aktuell;Planjahr+1;Planjahr+2;Planjahr+3;VE aktuell
Nein;1.1.1.0.504900;1.1.1.0;0;504900;Sonstige Arbeitgeberanteil an der gesetzlichen Sozialversicherung;1.1;1500000;1;0,00;0;0;60;490;0;490;1.086,51;330,06;0;0;490;490;490;0
Nein;1.1.1.0.505100;1.1.1.0;0;505100;Beamte, Beihilfen;1.1;1500000;1;0;0,00;0;60;56.500;0;57.050;0;54.022,83;0;0;57.630;58.790;59.970;0
Nein;1.1.1.0.506190;1.1.1.0;0;506190;Sonstige (Beamte);1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.506290;1.1.1.0;0;506290;Sonstige (Arbeitnehmer);1.1;1500000;1;;;0;60;0;0;0;61,84;71,76;17,94;0;0;0;0;0
Nein;1.1.1.0.507110;1.1.1.0;0;507110;Pensionsrückstellungen (Beamte);1.1;1500000;1;;;0;60;36.900;0;56.440;0;216.536,09;0;0;37.640;38.400;39.170;0
Nein;1.1.1.0.507120;1.1.1.0;0;507120;Beihilferückstellungen (Beamte);1.1;1500000;1;;;0;60;2.900;0;21.190;0;55.245,69;0;0;2.960;3.020;3.090;0
Nein;1.1.1.0.508100;1.1.1.0;0;508100;Zuführung&Rückstellungen für nicht genommenen Urlaub,Überstunden Beamte;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.508120;1.1.1.0;0;508120;Zf. Überstundenrückst. Beamte;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.508200;1.1.1.0;0;508200;Zuführung&Rückstellungen für nicht genommenen Urlaub,Überstunden Arbeitnehmer;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.508220;1.1.1.0;0;508220;Zf. Überstundenrückst. AN;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.509000;1.1.1.0;0;509000;Pauschalierte Lohnsteuer ;1.1;1500000;1;;;0;60;100;0;70;83,36;35,44;1,79;0;110;120;130;0
Nein;1.1.1.0.511100;1.1.1.0;0;511100;Versorgungsaufwendungen für Beamte;1.1;1510000;1;;;0;60;238.600;0;211.680;0;0;0;0;243.380;248.250;253.220;0
Ja;1.1.1.0.523800;1.1.1.0;0;523800;Geringwertige Geräte,Ausstattungs-,Ausrüstungs-,Gebrauchsgegenstände;1.1;11110;0;;;0;11;700;0;0;0;0;0;0;0;0;0;0
Ja;1.1.1.0.524900;1.1.1.0;0;524900;Sonstige Aufwendungen für Sachleistungen;1.1;11110;1;0,00;0;0;11;3.000;0;3.000;2.825,74;335,92;19;0;3.000;3.000;3.000;0
Nein;1.1.1.0.561200;1.1.1.0;0;561200;Aufwendungen für Aus- u Fortbildung, Umschulung;1.1;11110;1;0,00;0,00;0,00;11;2.000;0;2.300;3.847,65;1.964,34;2.000,00;0;2.000;2.000;2.000;0
Nein;1.1.1.0.561300;1.1.1.0;0;561300;Aufwendungen für übernommene Reisekosten, Dienstreisen;1.1;11110;1;0;0,00;0;11;3.000;0;3.000;573,54;2.801,64;0;0;3.000;3.000;3.000;0
Nein;1.1.1.0.563200;1.1.1.0;0;563200;Fachliteratur, Zeitschriften;1.1;11110;1;0;0;0;11;500;0;500;622,19;524,3;207,34;0;500;500;500;0
Ja;1.1.1.0.563400;1.1.1.0;0;563400;Telefon Datenübertragungskosten;1.1;11110;1;;;0;11;400;0;450;1.146,96;396,35;395;0;400;400;400;0
Nein;1.1.1.0.564140;1.1.1.0;0;564140;Unfallversicherungen;1.1;11110;1;0;0;0;80;220;0;200;209,49;189,54;0;0;220;220;220;0
Nein;1.1.1.0.569200;1.1.1.0;0;569200;Verfügungsmittel;1.1;0;0;0;0,00;0,00;11;2.500;0;2.500;795,9;1.037,62;3.492,84;0;2.500;2.500;2.500;0
Ja;1.1.1.0.569300;1.1.1.0;0;569300;Repräsentationen;1.1;11110;1;0,00;0,00;0,00;11;20.000;0;20.000;11.253,01;13.635,91;3.237,00;0;20.000;20.000;20.000;0
Nein;1.1.1.0.642590;1.1.1.0;0;642590;Kostenerst. Kostenuml. v privaten Bereich v sonst. privaten Bereich;1.1;0;0;;;0;11;0;0;0;0;0;191;0;0;0;0;0
Nein;1.1.1.0.701200;1.1.1.0;0;701200;Auszahlungen Beigeordnete;1.1;1500000;1;0;0,00;0;60;5.400;0;5.000;0;2.858,80;0;0;5.510;5.630;5.750;0
Nein;1.1.1.0.702110;1.1.1.0;0;702110;Bezüge der Beamten;1.1;1500000;1;0;0,00;0,00;60;187.500;0;186.240;0;92.468,55;31.654,45;0;191.250;195.080;198.990;0
Nein;1.1.1.0.702210;1.1.1.0;0;702210;Vergütungen der Arbeitnehmer;1.1;1500000;1;;;0,00;60;38.100;0;34.350;0;37.658,73;7.659,17;0;38.870;39.650;40.450;0
Nein;1.1.1.0.702220;1.1.1.0;0;702220;Leistungszulage Bedienstete;1.1;1500000;1;;;0;60;0;0;0;0;1.142,78;0;0;0;0;0;0
Nein;1.1.1.0.703200;1.1.1.0;0;703200;Beiträge zur ZVK / Arbeitnehmer;1.1;1500000;1;0;0,00;0;60;3.000;0;2.660;0;2.978,22;593,57;0;3.060;3.130;3.200;0
Nein;1.1.1.0.704200;1.1.1.0;0;704200;Beiträge zur gesetzl. Soz.versicherung Arbeitnehmer;1.1;1500000;1;0;0,00;0,00;60;7.900;0;7.130;0;8.022,67;1.584,12;0;8.060;8.230;8.400;0
Nein;1.1.1.0.704900;1.1.1.0;0;704900;sonst. Beiträge zur gesetzl. Soz.versicherung;1.1;1500000;1;0;0;0;60;490;0;490;0;330,06;0;0;490;490;490;0
Nein;1.1.1.0.705100;1.1.1.0;0;705100;Beihilfen, Unterstützungsleistunen u dgl. Beamte;1.1;1500000;1;0;0,00;0;60;56.500;0;57.050;0;54.022,83;0;0;57.630;58.790;59.970;0
Nein;1.1.1.0.706190;1.1.1.0;0;706190;Sonstige Personalnebenauszahlungen Beamte;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.706290;1.1.1.0;0;706290;Sonstige Personalnebenleistungen Arbeitnehmer;1.1;1500000;1;;;0;60;0;0;0;0;71,76;17,94;0;0;0;0;0
Nein;1.1.1.0.709000;1.1.1.0;0;709000;Pauschalierte Lohnsteuer ;1.1;1500000;1;;;0;60;100;0;70;0;41,76;1,79;0;110;120;130;0
Nein;1.1.1.0.711100;1.1.1.0;0;711100;Versorgungsauszahlungen für Beamte;1.1;1510000;1;;;0;60;238.600;0;211.680;0;0;0;0;243.380;248.250;253.220;0
Nein;1.1.1.0.723800;1.1.1.0;0;723800;Auszahlung Unterhalt geringwert. Geräte Ausstattungs-Ausrüstungs sonst.Gebrauchs;1.1;11110;0;;;0;11;700;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.724900;1.1.1.0;0;724900;Sonstige Auszahlungen für Sachleistungen;1.1;11110;1;0;0;0;11;3.000;0;3.000;0;331,96;22,96;0;3.000;3.000;3.000;0
Nein;1.1.1.0.761200;1.1.1.0;0;761200;Auszahlungen  Aus- und Fortbildung, Umschulung;1.1;11110;1;0;0,00;0;11;2.000;0;2.300;0;1.794,19;321,7;0;2.000;2.000;2.000;0
Nein;1.1.1.0.761300;1.1.1.0;0;761300;Auszahlungen Reisekosten;1.1;11110;1;0;0,00;0,00;11;3.000;0;3.000;0;3.189,32;1.022,40;0;3.000;3.000;3.000;0
Nein;1.1.1.0.763200;1.1.1.0;0;763200;Fachliteratur, Zeitschriften;1.1;11110;1;0;0;0;11;500;0;500;0;629,16;207,34;0;500;500;500;0
Nein;1.1.1.0.763400;1.1.1.0;0;763400;Telefon Datenübertragungskosten;1.1;11110;1;;;0;11;400;0;450;0;396,35;98,19;0;400;400;400;0
Nein;1.1.1.0.764140;1.1.1.0;0;764140;Unfallversicherungen;1.1;11110;1;0;0;0;80;220;0;200;0;0;0;0;220;220;220;0
Nein;1.1.1.0.769200;1.1.1.0;0;769200;Verfügungsmittel;1.1;0;0;0;0,00;0,00;11;2.500;0;2.500;0;1.037,62;3.342,84;0;2.500;2.500;2.500;0
Nein;1.1.1.0.769300;1.1.1.0;0;769300;Repräsentationen;1.1;11110;1;0;0,00;0;11;20.000;0;20.000;0;13.685,41;787,5;0;20.000;20.000;20.000;0
Nein;1.1.1.3.466140;1.1.1.3;0;466140;Ertrag aus der Auflösung  von Rückstellungen;1.1;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.3.466141;1.1.1.3;0;466141;Aufl. Pensions+Beih. Rückstell;1.1;0;0;;;0;80;2.000;0;610;0;12.979,90;0;0;2.000;2.000;2.000;0
Nein;1.1.1.3.502110;1.1.1.3;0;502110;Bezüge der Beamten;1.1;1500000;1;;;0,00;60;6.300;0;24.430;22.367,87;52.147,08;6.045,36;0;6.430;6.560;6.700;0
Nein;1.1.1.3.502210;1.1.1.3;0;502210;Dienstbezüge der Arbeitnehmer;1.1;1500000;1;;;0;60;24.100;0;13.410;2.614,50;3.470,00;780,5;0;24.590;25.090;25.600;0
Nein;1.1.1.3.502220;1.1.1.3;0;502220;Leistungszulagen der AN;1.1;1500000;1;;;0;60;0;0;0;59,37;59,84;0;0;0;0;0;0
Nein;1.1.1.3.503200;1.1.1.3;0;503200;Arbeitnehmer Beiträge zur Versorgungskasse;1.1;1500000;1;;;0;60;1.900;0;1.040;207,26;273,56;60,49;0;1.940;1.980;2.020;0
Nein;1.1.1.3.504200;1.1.1.3;0;504200;Arbeitnehmer Arbeitgeberanteil an der gesetzlichen Sozialversicherung;1.1;1500000;1;;;0;60;4.900;0;2.710;551,34;729,97;160,95;0;5.000;5.100;5.210;0
Nein;1.1.1.3.505100;1.1.1.3;0;505100;Beamte, Beihilfen;1.1;1500000;1;;;0;60;1.900;0;7.700;0;7.642,84;0;0;1.940;1.980;2.020;0
Nein;1.1.1.3.506290;1.1.1.3;0;506290;Sonstige (Arbeitnehmer);1.1;1500000;1;;;0;60;0;0;0;5,1;6,44;1,53;0;0;0;0;0
Nein;1.1.1.3.507110;1.1.1.3;0;507110;Pensionsrückstellungen (Beamte);1.1;1500000;1;;;0;60;4.400;0;23.900;0;55.604,60;0;0;4.490;4.580;4.680;0
Nein;1.1.1.3.507120;1.1.1.3;0;507120;Beihilferückstellungen (Beamte);1.1;1500000;1;;;0;60;200;0;1.040;0;8.252,30;0;0;210;220;230;0
Nein;1.1.1.3.508100;1.1.1.3;0;508100;Zuführung&Rückstellungen für nicht genommenen Urlaub,Überstunden Beamte;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.3.508200;1.1.1.3;0;508200;Zuführung&Rückstellungen für nicht genommenen Urlaub,Überstunden Arbeitnehmer;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.3.508220;1.1.1.3;0;508220;Zf. Überstundenrückst. AN;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.3.509000;1.1.1.3;0;509000;Pauschalierte Lohnsteuer ;1.1;1500000;1;;;0;60;0;0;0;0;0,01;0;0;0;0;0;0
Nein;1.1.1.3.511100;1.1.1.3;0;511100;Versorgungsaufwendungen für Beamte;1.1;1510000;1;;;0;60;7.900;0;28.490;0;0;0;0;8.060;8.230;8.400;0
Ja;1.1.1.3.563500;1.1.1.3;0;563500;öffentliche Bekanntmachungen;1.1;11113;1;0,00;0,00;0,00;11;40.000;0;40.000;25.390,31;34.066,00;8.516,50;0;40.000;40.000;40.000;0
Nein;1.1.1.3.564140;1.1.1.3;0;564140;Unfallversicherungen;1.1;11113;1;0;0;0;80;20;0;50;17,43;16,24;0;0;20;20;20;0
Nein;1.1.1.3.702110;1.1.1.3;0;702110;Bezüge der Beamten;1.1;1500000;1;;;0,00;60;6.300;0;24.430;0;25.217,06;4.030,24;0;6.430;6.560;6.700;0
Nein;1.1.1.3.702210;1.1.1.3;0;702210;Vergütungen der Arbeitnehmer;1.1;1500000;1;;;0;60;24.100;0;13.410;0;3.471,08;780,5;0;24.590;25.090;25.600;0
Nein;1.1.1.3.702220;1.1.1.3;0;702220;Leistungszulage Bedienstete;1.1;1500000;1;;;0;60;0;0;0;0;59,84;0;0;0;0;0;0
Nein;1.1.1.3.703200;1.1.1.3;0;703200;Beiträge zur ZVK / Arbeitnehmer;1.1;1500000;1;;;0;60;1.900;0;1.040;0;273,56;60,49;0;1.940;1.980;2.020;0
Nein;1.1.1.3.704200;1.1.1.3;0;704200;Beiträge zur gesetzl. Soz.versicherung Arbeitnehmer;1.1;1500000;1;;;0;60;4.900;0;2.710;0;730,15;160,95;0;5.000;5.100;5.210;0
Nein;1.1.1.3.705100;1.1.1.3;0;705100;Beihilfen, Unterstützungsleistunen u dgl. Beamte;1.1;1500000;1;;;0;60;1.900;0;7.700;0;7.642,84;0;0;1.940;1.980;2.020;0
Nein;1.1.1.3.706290;1.1.1.3;0;706290;Sonstige Personalnebenleistungen Arbeitnehmer;1.1;1500000;1;;;0;60;0;0;0;0;6,44;1,53;0;0;0;0;0
Nein;1.1.1.3.709000;1.1.1.3;0;709000;Pauschalierte Lohnsteuer ;1.1;1500000;1;;;0;60;0;0;0;0;2,1;0;0;0;0;0;0
Nein;1.1.1.3.711100;1.1.1.3;0;711100;Versorgungsauszahlungen für Beamte;1.1;1510000;1;;;0;60;7.900;0;28.490;0;0;0;0;8.060;8.230;8.400;0
Nein;1.1.1.3.763500;1.1.1.3;0;763500;öffentliche Bekanntmachungen;1.1;11113;1;0;0,00;0,00;11;40.000;0;40.000;0;36.770,07;8.516,50;0;40.000;40.000;40.000;0
Nein;1.1.1.3.764140;1.1.1.3;0;764140;Unfallversicherungen;1.1;11113;1;0;0;0;80;20;0;50;0;0;0;0;20;20;20;0
Ja;1.1.1.4.442430;1.1.1.4;0;442430;Kostenerstattungen vom öffentlichen Bereich von Gemeinden und Gemeindeverbänden;1.1;0;0;;;0;11;2.000;0;2.000;1.371,69;3.878,04;0;0;2.000;2.000;2.000;0
Ja;1.1.1.4.442900;1.1.1.4;0;442900;Sonstige Kostenerstattungen;1.1;0;0;;;0;11;250;0;750;0;185,52;0;0;250;250;250;0
Nein;1.1.1.4.466140;1.1.1.4;0;466140;Ertrag aus der Auflösung  von Rückstellungen;1.1;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.4.466141;1.1.1.4;0;466141;Aufl. Pensions+Beih. Rückstell;1.1;0;0;;;0;80;0;0;310;0;6.386,28;0;0;0;0;0;0
Nein;1.1.1.4.466142;1.1.1.4;0;466142;Erträge a.d. Aufl. RS ATZ Beam;1.1;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0
Ja;1.1.1.4.501400;1.1.1.4;0;501400;Rats- und Ausschussmitglieder;1.1;1500000;1;0,00;0,00;0;60;25.000;0;34.000;10.075,35;21.237,50;0;0;25.500;26.010;26.540;0
Nein;1.1.1.4.502110;1.1.1.4;0;502110;Bezüge der Beamten;1.1;1500000;1;;;0,00;60;0;0;12.270;1.012,24;25.627,46;1.012,24;0;0;0;0;0
Nein;1.1.1.4.502210;1.1.1.4;0;502210;Dienstbezüge der Arbeitnehmer;1.1;1500000;1;;;0,00;60;44.100;0;26.830;29.762,32;27.760,12;6.244,04;0;44.990;45.890;46.810;0
Nein;1.1.1.4.502220;1.1.1.4;0;502220;Leistungszulagen der AN;1.1;1500000;1;;;0;60;0;0;0;474,93;478,68;0;0;0;0;0;0
Nein;1.1.1.4.503200;1.1.1.4;0;503200;Arbeitnehmer Beiträge zur Versorgungskasse;1.1;1500000;1;;;0;60;3.500;0;2.080;2.343,38;2.188,48;483,9;0;3.570;3.650;3.730;0
Nein;1.1.1.4.504200;1.1.1.4;0;504200;Arbeitnehmer Arbeitgeberanteil an der gesetzlichen Sozialversicherung;1.1;1500000;1;;;0,00;60;9.200;0;5.540;6.248,19;5.838,83;1.287,46;0;9.390;9.580;9.780;0
Nein;1.1.1.4.505100;1.1.1.4;0;505100;Beamte, Beihilfen;1.1;1500000;1;;;0;60;0;0;3.870;0;3.760,39;0;0;0;0;0;0
Nein;1.1.1.4.506290;1.1.1.4;0;506290;Sonstige (Arbeitnehmer);1.1;1500000;1;;;0;60;0;0;0;55;51,64;12,3;0;0;0;0;0
Nein;1.1.1.4.507110;1.1.1.4;0;507110;Pensionsrückstellungen (Beamte);1.1;1500000;1;;;0;60;0;0;3.290;0;13.301,65;0;0;0;0;0;0
Nein;1.1.1.4.507120;1.1.1.4;0;507120;Beihilferückstellungen (Beamte);1.1;1500000;1;;;0;60;0;0;510;0;3.838,63;0;0;0;0;0;0
Nein;1.1.1.4.508100;1.1.1.4;0;508100;Zuführung&Rückstellungen für nicht genommenen Urlaub,Überstunden Beamte;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.4.508120;1.1.1.4;0;508120;Zf. Überstundenrückst. Beamte;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.4.508200;1.1.1.4;0;508200;Zuführung&Rückstellungen für nicht genommenen Urlaub,Überstunden Arbeitnehmer;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.4.508220;1.1.1.4;0;508220;Zf. Überstundenrückst. AN;1.1;1500000;1;;;0;60;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.4.509000;1.1.1.4;0;509000;Pauschalierte Lohnsteuer ;1.1;1500000;1;;;0;60;0;0;0;0,48;0,03;0;0;0;0;0;0
Nein;1.1.1.4.511100;1.1.1.4;0;511100;Versorgungsaufwendungen für Beamte;1.1;1510000;1;;;0;60;0;0;14.310;0;0;0;0;0;0;0;0
Ja;1.1.1.4.523800;1.1.1.4;0;523800;Geringwertige Geräte,Ausstattungs-,Ausrüstungs-,Gebrauchsgegenstände;1.1;11114;1;;;0;11;2.500;0;2.500;25,98;0;0;0;2.500;2.500;2.500;0
Ja;1.1.1.4.524900;1.1.1.4;0;524900;Sonstige Aufwendungen für Sachleistungen;1.1;11114;1;;;0;11;3.000;0;5.500;781,56;2.380,32;0;0;3.000;3.000;3.000;0
Ja;1.1.1.4.525900;1.1.1.4;0;525900;Kostenerstattungen an Sonstige;1.1;11114;1;;;0;11;1.300;0;600;1.268,14;1.242,09;0;0;1.300;1.300;1.300;0
Nein;1.1.1.4.532100;1.1.1.4;0;532100;Abschreibungen auf gewerbliche Schutzrechte,ähnliche Rechte&Werte;1.1;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0
Ja;1.1.1.4.561200;1.1.1.4;0;561200;Aufwendungen für Aus- u Fortbildung, Umschulung;1.1;11114;1;;;0,00;11;3.000;0;5.000;2.236,75;0;2.236,75;0;3.000;3.000;3.000;0
Nein;1.1.1.4.561300;1.1.1.4;0;561300;Aufwendungen für übernommene Reisekosten, Dienstreisen;1.1;11114;1;;;0;11;150;0;200;5,95;58,1;0;0;150;150;150;0
Nein;1.1.1.4.562400;1.1.1.4;0;562400;Datenverarbeitung;1.1;11114;1;;;0;90;0;0;0;446,25;0;0;0;0;0;0;0
Nein;1.1.1.4.563200;1.1.1.4;0;563200;Fachliteratur, Zeitschriften;1.1;11114;1;;;0;11;500;0;500;523,39;3.244,75;0;0;500;500;500;0
Nein;1.1.1.4.563900;1.1.1.4;0;563900;Sonstiges;1.1;11114;1;;;0;11;100;0;100;0;0;0;0;100;100;100;0
Nein;1.1.1.4.564140;1.1.1.4;0;564140;Unfallversicherungen;1.1;11114;1;;;0;80;150;0;200;139,43;161,6;0;0;150;150;150;0
Ja;1.1.1.4.569100;1.1.1.4;0;569100;Zuwendungen an Fraktionen;1.1;11114;1;0;0,00;0;11;3.000;0;3.000;531,78;2.423,67;531,78;0;3.000;3.000;3.000;0
Nein;1.1.1.4.642430;1.1.1.4;0;642430;Kostenerst. Kostenuml. v öffentl. Bereich von Gemeinden u. Gem.verbänden;1.1;0;0;;;0,00;11;2.000;0;2.000;0;2.768,04;1.830,00;0;2.000;2.000;2.000;0
Nein;1.1.1.4.642900;1.1.1.4;0;642900;Kostenerst. Kostenuml. v Sonstigen;1.1;0;0;;;0;11;250;0;750;0;109,96;75,56;0;250;250;250;0
Nein;1.1.1.4.701400;1.1.1.4;0;701400;Auszahlungen Rats- u. Ausschußmitglieder;1.1;1500000;1;0;0,00;0,00;60;25.000;0;34.000;0;17.038,00;13.197,50;0;25.500;26.010;26.540;0
Nein;1.1.1.4.702110;1.1.1.4;0;702110;Bezüge der Beamten;1.1;1500000;1;;;0;60;0;0;12.270;0;12.427,90;0;0;0;0;0;0
Nein;1.1.1.4.702210;1.1.1.4;0;702210;Vergütungen der Arbeitnehmer;1.1;1500000;1;;;0,00;60;44.100;0;26.830;0;27.163,77;6.244,04;0;44.990;45.890;46.810;0
Nein;1.1.1.4.702220;1.1.1.4;0;702220;Leistungszulage Bedienstete;1.1;1500000;1;;;0;60;0;0;0;0;478,68;0;0;0;0;0;0
Nein;1.1.1.4.703200;1.1.1.4;0;703200;Beiträge zur ZVK / Arbeitnehmer;1.1;1500000;1;;;0;60;3.500;0;2.080;0;2.142,26;483,9;0;3.570;3.650;3.730;0
Nein;1.1.1.4.704200;1.1.1.4;0;704200;Beiträge zur gesetzl. Soz.versicherung Arbeitnehmer;1.1;1500000;1;;;0,00;60;9.200;0;5.540;0;5.717,08;1.287,46;0;9.390;9.580;9.780;0
Nein;1.1.1.4.705100;1.1.1.4;0;705100;Beihilfen, Unterstützungsleistunen u dgl. Beamte;1.1;1500000;1;;;0;60;0;0;3.870;0;3.760,39;0;0;0;0;0;0
Nein;1.1.1.4.706290;1.1.1.4;0;706290;Sonstige Personalnebenleistungen Arbeitnehmer;1.1;1500000;1;;;0;60;0;0;0;0;51,64;12,3;0;0;0;0;0
Nein;1.1.1.4.709000;1.1.1.4;0;709000;Pauschalierte Lohnsteuer ;1.1;1500000;1;;;0;60;0;0;0;0;15,4;0;0;0;0;0;0
Nein;1.1.1.4.711100;1.1.1.4;0;711100;Versorgungsauszahlungen für Beamte;1.1;1510000;1;;;0;60;0;0;14.310;0;0;0;0;0;0;0;0
Nein;1.1.1.4.723800;1.1.1.4;0;723800;Auszahlung Unterhalt geringwert. Geräte Ausstattungs-Ausrüstungs sonst.Gebrauchs;1.1;11114;1;;;0;11;2.500;0;2.500;0;0;0;0;2.500;2.500;2.500;0
Nein;1.1.1.4.724900;1.1.1.4;0;724900;Sonstige Auszahlungen für Sachleistungen;1.1;11114;1;;;0;11;3.000;0;5.500;0;3.108,12;0;0;3.000;3.000;3.000;0
Nein;1.1.1.4.725900;1.1.1.4;0;725900;Kostenerstattungen an Sonstige;1.1;11114;1;;;0;11;1.300;0;600;0;3.220,00;302,09;0;1.300;1.300;1.300;0
Nein;1.1.1.4.761200;1.1.1.4;0;761200;Auszahlungen  Aus- und Fortbildung, Umschulung;1.1;11114;1;;;0,00;11;3.000;0;5.000;0;0;1.236,75;0;3.000;3.000;3.000;0
Nein;1.1.1.4.761300;1.1.1.4;0;761300;Auszahlungen Reisekosten;1.1;11114;1;;;0;11;150;0;200;0;58,1;0;0;150;150;150;0
Nein;1.1.1.4.762400;1.1.1.4;0;762400;Datenverarbeitung;1.1;11114;1;;;0;90;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.4.763200;1.1.1.4;0;763200;Fachliteratur, Zeitschriften;1.1;11114;1;;;0,00;11;500;0;500;0;291,55;2.953,20;0;500;500;500;0
Nein;1.1.1.4.763900;1.1.1.4;0;763900;Sonstige öffentl. Bekanntmachungen;1.1;11114;1;;;0;11;100;0;100;0;0;0;0;100;100;100;0
Nein;1.1.1.4.764140;1.1.1.4;0;764140;Unfallversicherungen;1.1;11114;1;;;0;80;150;0;200;0;0;0;0;150;150;150;0
Nein;1.1.1.4.769100;1.1.1.4;0;769100;Zuwendungen an Fraktionen;1.1;11114;1;0;0,00;0;11;3.000;0;3.000;0;2.592,41;301,69;0;3.000;3.000;3.000;0
Ja;1.1.1.5.524900;1.1.1.5;0;524900;Sonstige Aufwendungen für Sachleistungen;1.1;0;0;;;0;11;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.5.724900;1.1.1.5;0;724900;Sonstige Auszahlungen für Sachleistungen;1.1;0;0;;;0;11;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.6.414500;1.1.1.6;0;414500;Zuweisungen vom privaten Bereich;1.1;0;0;;;0;11;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.6.442400;1.1.1.6;0;442400;Kostenerstattungen vom öffentlichen Bereich;1.1;0;0;;;0;11;500;0;500;0;0;0;0;500;500;500;0
Ja;1.1.1.6.442590;1.1.1.6;0;442590;Kostenerstattungen vom sonstigen privaten Bereich;1.1;0;0;;;0;11;500;0;500;0;0;0;0;500;500;500;0
